date,category,title,article_count,clean_title,keywords
2025-01-16,total,"홍준표 대구시장, 트럼프 취임식 공식 초청받아 방미",37,홍준표 대구시장 트럼프 취임식 공식 초청받아 방미,"['홍준표', '대구', '트럼프', '취임식', '초청', '방미']"
2025-01-16,total,"이창용 한국은행 총재, ""정치 요인이 환율 끌어올려""",35,이창용 한국은행 총재 정치 요인이 환율 끌어올려,"['이창용', '한국은행 총재', '정치', '요인']"
2025-01-15,total,"공수처 ""자진출석 고려하지 않아…영장집행이 목표""",916,공수처 자진출석 고려하지 않아 영장집행이 목표,"['공수', '자진', '고려']"
2025-01-15,total,"박찬대 “윤 대통령 체포, 법치 실현 위한 첫 걸음”",122,박찬대 윤 대통령 체포 법치 실현 위한 첫 걸음,"['박찬', '대통령', '실현', '걸음']"
2025-01-15,total,"경찰, '尹체포 저지 주도' 김성훈 경호처 차장 체포",106,경찰 체포 저지 주도 김성훈 경호처 차장 체포,"['저지', '주도', '김성훈', '차장']"
2025-01-15,total,"국민의힘 의원 30여명, 尹 체포 막으러 관저 집결",92,국민의힘 의원 30여명 체포 막으러 관저 집결,"['여명', '관저', '집결']"
2025-01-15,total,"尹 ""유혈 사태 막기 위해 공수처 불법 수사 응하기로""",76,유혈 사태 막기 위해 공수처 불법 수사 응하기로,"['유혈', '공수', '불법']"
2025-01-15,total,리포트 신세계 현대차 000원 대신증권 ,64,리포트 신세계 현대차 000원 대신증권,"['리포트', '신세계', '현대차', '대신증권']"
2025-01-15,total,46개월 만 취업률 하락 전환…실업률은 3년 내 최고,61,46개월 만 취업률 하락 전환 실업률은 3년 내 최고,"['취업', '실업']"
2025-01-15,total,"韓총리 ""비상계엄 잘못돼…모든 국민 헌법·법률 따라야""",51,총리 비상계엄 잘못돼 모든 국민 헌법 법률 따라야,"['비상계엄', '잘못', '헌법', '법률']"
2025-01-15,total,"조국, 尹 체포 소식에 서신…""국민 분노·연대가 승리""",45,조국 체포 소식에 서신 국민 분노 연대가 승리,"['조국', '소식', '서신', '분노', '연대', '승리']"
2025-01-15,total,"`하이브리드·9인승` 현대차 팰리세이드, 드디어 나왔다",44,하이브리드 9인승 현대차 팰리세이드 드디어 나왔다,"['하이브리드', '인승', '현대차', '팰리세이드']"
2025-01-14,total,尹체포 ‘경찰·공수처·경호처 담판’ 나섰다,170,체포 경찰 공수처 경호처 담판 나섰다,"['공수', '담판']"
2025-01-14,total,"헌재, 尹 재판관 기피 신청 기각…尹측 ""대단히 유감""",118,헌재 재판관 기피 신청 기각 측 대단히 유감,"['헌재', '재판관', '기피', '유감']"
2025-01-14,total,박찬대 “尹 영장집행서 충돌 발생시 모두 최상목 책임”,86,박찬대 영장집행서 충돌 발생시 모두 최상목 책임,"['박찬', '충돌', '책임']"
2025-01-14,total,"정진석 호소문에…尹측 ""제3장소 조사 상의된 적 없어""",79,정진석 호소문에 측 제3장소 조사 상의된 적 없어,"['정진석', '호소문', '상의']"
2025-01-14,total,고교 무상교육 국고 지원 중단된다,72,고교 무상교육 국고 지원 중단된다,"['고교', '무상교육', '국고']"
2025-01-14,total,"삼성바이오로직스, 연초 2조 수주 쾌거…창립 이래 최대",55,삼성바이오로직스 연초 2조 수주 쾌거 창립 이래 최대,"['삼성바이오로직스', '연초', '쾌거', '창립']"
2025-01-14,total,"국민의힘, 자체 ‘비상계엄특검법’ 발의한다",51,국민의힘 자체 비상계엄특검법 발의한다,"['비상계엄', '특검']"
2025-01-14,total,윤 대통령 법률대리인들 헌재 출석,49,윤 대통령 법률대리인들 헌재 출석,"['대통령', '법률', '대리인', '헌재']"
2025-01-14,total,"합참 ""북 단거리탄도미사일 추정 수 발 포착""",47,합참 북 단거리탄도미사일 추정 수 발 포착,"['합참', '단거리', '탄도', '미사일', '포착']"
2025-01-14,total,"홍준표 ""워싱턴 방문일정 조율 중""…트럼프 취임식 참석",45,홍준표 워싱턴 방문일정 조율 중 트럼프 취임식 참석,"['홍준표', '워싱턴', '일정', '트럼프', '취임식']"
2025-01-13,total,"공수처, 국방부·경호처에 체포영장집행 협조 공문 발송",239,공수처 국방부 경호처에 체포영장집행 협조 공문 발송,"['공수', '국방부', '체포영장', '협조', '공문', '발송']"
2025-01-13,total,"이재명 ""영장집행 무력저항 막아야"" 최 대행에 요청",129,이재명 영장집행 무력저항 막아야 최 대행에 요청,"['이재명', '무력', '저항', '대행', '요청']"
2025-01-13,total,"통일부 ""북한군 포로 한국행, 국제법 등 검토 필요""",74,통일부 북한군 포로 한국행 국제법 등 검토 필요,"['통일부', '북한군', '포로', '국제법']"
2025-01-13,total,"현대차그룹, 협력사에 2조원 조기 지급",67,현대차그룹 협력사에 2조원 조기 지급,['현대차']
2025-01-13,total,"두번째 내란 특검법, 野 주도로 법사위 통과",64,두번째 내란 특검법 주도로 법사위 통과,"['내란', '특검', '주도', '법사위', '통과']"
2025-01-13,total,"이재명 ""가짜뉴스는 민주주의 적...카톡이 성역인가""",47,이재명 가짜뉴스는 민주주의 적 카톡이 성역인가,"['이재명', '가짜', '민주주의', '성역']"
2025-01-13,total,리포트 한미약품 카카오 review 000원 다올투자증권 ,46,리포트 한미약품 카카오 review 000원 다올투자증권,"['리포트', '한미약품', '카카오', 'REVIEW']"
2025-01-13,total,연초 수출 ‘플러스’ 출발,34,연초 수출 플러스 출발,"['연초', '플러스', '출발']"
2025-01-13,total,"헌재 ""尹 1차 체포영장 권한쟁의 취하서 11일 접수""",33,헌재 1차 체포영장 권한쟁의 취하서 11일 접수,"['헌재', '체포영장', '쟁의', '취하']"
2025-01-13,total,"尹, 두 번째 페북글…“LA 산불에 정부 지원 당부”",31,두 번째 페북글 LA 산불에 정부 지원 당부,"['산불', '당부', 'LA']"
2025-01-24,total,"최상목 ""설 연휴시장 모니터링 등 철저한 시장관리""",91,최상목 설 연휴시장 모니터링 등 철저한 시장관리,['모니터링']
2025-01-24,total,"트럼프, “김정은과 연락할 것”.. 북미정상외교 시동",59,트럼프 김정은과 연락할 것 북미정상외교 시동,"['트럼프', '김정은', '연락', '북미', '정상', '외교', '시동']"
2025-01-24,total,"삼성전기, 지난해 매출 10조 돌파…창사 이래 처음",58,삼성전기 지난해 매출 10조 돌파 창사 이래 처음,"['삼성전기', '창사', '처음']"
2025-01-24,total,민주 40%·국힘 38%…이재명 31%·김문수 11%,57,민주 40 국힘 38 이재명 31 김문수 11,"['민주', '이재명', '김문수']"
2025-01-24,total,"검찰, 尹구속영장 연장 신청…주말 대면 조사 가능성",56,검찰 구속영장 연장 신청 주말 대면 조사 가능성,"['구속영장', '대면']"
2025-01-24,total,리포트 하이닉스 1분기 실적 000원 투자 ,56,리포트 하이닉스 1분기 실적 000원 투자,"['리포트', '하이', '닉스']"
2025-01-24,total,"日, 기준금리 0.5%로 인상…17년 만에 최고 수준",47,기준금리 0 5 로 인상 17년 만에 최고 수준,['인상']
2025-01-24,total,경호처 김성훈·이광우 재소환…“기관단총 평시에도 배치”,46,경호처 김성훈 이광우 재소환 기관단총 평시에도 배치,"['김성훈', '이광우', '기관단총', '평시', '배치']"
2025-01-24,total,"‘마약 강제 흡입 주장’ 김나정, 검찰 송치",37,마약 강제 흡입 주장 김나정 검찰 송치,"['마약', '강제', '흡입']"
2025-01-24,total,"국힘, 설 명절 민심잡기…서울역서 귀성인사",37,국힘 설 명절 민심잡기 서울역서 귀성인사,"['민심', '잡기', '서울역', '귀성']"
